TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
50490.0,0.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
51490.0,1.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
52490.0,2.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
53490.0,3.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
54490.0,4.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,0.766346112,0.36885912,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
55490.0,5.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.36885912,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
56490.0,6.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
57490.0,7.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
58490.0,8.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
59490.0,9.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
60490.0,10.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
61490.0,11.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
62490.0,0.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
63490.0,1.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
63615.0,15.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.519252736,0.0,0.0,0.0
64615.0,2.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.519252736,8.0,0.0,0.0
65615.0,3.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.519252736,7.0,0.0,0.0
66615.0,4.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.46993112,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.519252736,6.0,0.0,0.0
