,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
162,93.999,False,2.538338,6.9e-05,0.0,0.0
163,93.999,True,1.075819,1.111487,1.149564,1.140613
164,94.999,False,2.820719,6.9e-05,0.0,0.0
165,94.999,True,1.075819,1.111487,1.149427,1.140613
166,95.999,False,3.102412,6.9e-05,0.0,0.0
167,95.999,True,1.075819,1.111487,1.149427,1.140751
168,96.999,False,0.0,6.9e-05,0.0,0.0
169,96.999,True,1.075681,1.111487,1.149564,1.140613
170,97.999,False,0.284998,6.9e-05,0.0,0.0
171,97.999,True,1.075612,1.111556,1.149427,1.140544
172,98.999,False,0.745237,6.9e-05,0.0,0.0
173,98.999,True,1.075406,1.111418,1.149564,1.140682
174,99.999,False,0.846112,6.9e-05,0.0,0.0
175,99.999,True,1.075612,1.111556,1.149496,1.140544
176,100.999,False,1.201069,6.9e-05,0.0,0.0
177,100.999,True,1.075819,1.111624,1.149427,1.140475
178,101.999,False,1.419552,6.9e-05,0.0,0.0
179,101.999,True,1.075681,1.111418,1.149289,1.140544
180,102.999,False,1.715223,6.9e-05,0.0,0.0
181,102.999,True,1.075819,1.111418,1.149564,1.140544
182,103.999,False,1.974469,6.9e-05,0.0,0.0
183,103.999,True,1.075612,1.111624,1.149427,1.140544
184,104.999,False,2.307323,6.9e-05,0.0,0.0
185,104.999,True,1.07575,1.111556,1.149564,1.140475
186,105.999,False,2.538338,6.9e-05,0.0,0.0
187,105.999,True,1.075543,1.111624,1.149496,1.140544
188,106.999,False,2.820719,6.9e-05,0.0,0.0
189,106.999,True,1.075406,1.111418,1.149564,1.140475
190,107.999,False,3.102412,6.9e-05,0.0,0.0
191,107.999,True,1.075475,1.111487,1.149358,1.140544
192,108.999,False,0.0,6.9e-05,0.0,0.0
193,108.999,True,1.075612,1.111349,1.149151,1.140613
194,109.999,False,0.284998,6.9e-05,0.0,0.0
195,109.999,True,1.075475,1.111418,1.149082,1.140338
196,110.999,False,0.745237,6.9e-05,0.0,0.0
197,110.999,True,1.075475,1.111349,1.14922,1.140544
198,111.999,False,0.846112,6.9e-05,0.0,0.0
199,111.999,True,1.075337,1.111349,1.14922,1.140682
200,112.999,False,1.201414,6.9e-05,0.0,0.0
201,112.999,True,1.075475,1.111418,1.149358,1.140407
202,113.999,False,1.419483,6.9e-05,0.0,0.0
203,113.999,True,1.075819,1.111418,1.149358,1.140338
204,114.999,False,1.71543,6.9e-05,0.0,0.0
205,114.999,True,1.075337,1.111487,1.149014,1.140475
206,115.999,False,1.974469,6.9e-05,0.0,0.0
207,115.999,True,1.075543,1.111349,1.149496,1.140544
208,116.999,False,2.307323,6.9e-05,0.0,0.0
209,116.999,True,1.075406,1.111349,1.149358,1.140407
210,117.999,False,2.538338,6.9e-05,0.0,0.0
211,117.999,True,1.075612,1.111211,1.149427,1.140544
212,118.999,False,2.820719,6.9e-05,0.0,0.0
213,118.999,True,1.075543,1.111211,1.149427,1.140338
214,119.999,False,3.102412,6.9e-05,0.0,0.0
215,119.999,True,1.075543,1.111349,1.149289,1.140544
216,120.999,False,0.0,6.9e-05,0.0,0.0
217,120.999,True,1.075475,1.111418,1.149358,1.140613
218,121.999,False,0.284929,6.9e-05,0.0,0.0
219,121.999,True,1.075406,1.111556,1.14922,1.140407
220,122.999,False,0.745237,6.9e-05,0.0,0.0
221,122.999,True,1.075612,1.11128,1.149151,1.140475
222,123.999,False,0.846112,6.9e-05,0.0,0.0
223,123.999,True,1.075406,1.111349,1.149151,1.140407
224,124.999,False,1.201896,6.9e-05,0.0,0.0
225,124.999,True,1.075612,1.111349,1.149289,1.140613
226,125.999,False,1.419552,6.9e-05,0.0,0.0
227,125.999,True,1.075543,1.111211,1.149151,1.140475
228,126.999,False,1.71543,6.9e-05,0.0,0.0
229,126.999,True,1.075543,1.111142,1.149289,1.140544
230,127.999,False,1.974469,6.9e-05,0.0,0.0
231,127.999,True,1.075543,1.111142,1.149289,1.140544
232,128.999,False,2.307254,6.9e-05,0.0,0.0
233,128.999,True,1.075406,1.11128,1.149289,1.140407
234,129.999,False,2.538338,6.9e-05,0.0,0.0
235,129.999,True,1.075199,1.11128,1.149358,1.140407
236,130.999,False,2.820788,6.9e-05,0.0,0.0
237,130.999,True,1.075612,1.11128,1.14922,1.140475
238,131.344,False,4.293566,6.9e-05,0.0,0.0
239,131.999,True,1.075475,1.111349,1.149082,1.140269
240,132.344,False,3.102412,6.9e-05,0.0,0.0
241,132.999,True,1.075475,1.111211,1.149151,1.139993
242,133.344,False,0.0,6.9e-05,0.0,0.0
243,133.999,True,1.075268,1.11128,1.14922,1.140131
244,134.344,False,0.285067,6.9e-05,0.0,0.0
245,134.999,True,1.075543,1.111142,1.149082,1.140269
246,135.344,False,0.745237,6.9e-05,0.0,0.0
247,135.999,True,1.075337,1.111074,1.149082,1.140269
