Time,PinPullerTemp,Spare,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
8228432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,43,0,0
8229432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,45,0,0
8230432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,39,0,0
8231432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,45,0,0
8232432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,47,0,0
8233432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,37,0,0
8234432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,34,0,0
8235432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,46,0,0
8236432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,53,0,0
8237432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,42,0,0
8238432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,54,0,0
8239432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,40,0,0
8240432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2112E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,45,0,0
8241432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7626E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,46,0,0
8242432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,373.2634E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,54,0,0
8243432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,56,0,0
8244432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0504E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,50,0,0
8245432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,42,0,0
8246432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,57,0,0
8247432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,47,0,0
8248432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,46,0,0
8249432,-273.0000E+0,-268.5957E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,45,0,0
8250432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,46,0,0
8251432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,41,0,0
8252432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2156E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,39,0,0
8253432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2211E+0,2.7637E+0,371.0613E-3,3.8273E+0,1.0537E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,47,0,0
